score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;F81B16001030001;S.S. 77 DELLA VAL DI CHIENTI;Infrastrutture / parcheggi;MARCHE;MACERATA;CORRIDONIA;43002892.0;QUADRILATERO MARCHE-UMBRIA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F81B16001030001
100;B41B23000590003;VARIANTE SS16 FANO-MAROTTA (1° STRALCIO);Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;FANO;43000000.0;REGIONE MARCHE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B41B23000590003
100;C13J04000050002;Lavori di completamento delle opere sulla via Cascina in frazione di Bozzano (inserite nei lavori di completamento della fognatura nera in varie frazioni) eseguiti in somma urgenza.;Ambiente / rifiuti / depurazione;TOSCANA;LUCCA;MASSAROSA;43000000.0;COMUNE DI MASSAROSA - LU -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C13J04000050002
100;F33H03000010001;DIGA DI CASANUOVA SUL FIUME CHIASCIO;Sanità / RSA;UMBRIA;PERUGIA;GUBBIO;43000000.0;ENTE ACQUE UMBRE TOSCANE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F33H03000010001
100;H87H19003230005;AUTOSTRADA A1;Infrastrutture / parcheggi;LAZIO;TUTTE;TUTTI;43000000.0;AUTOSTRADE PER L'ITALIA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H87H19003230005
100;F93F04000000002;RIPRISTINO VIABILITA' DEMANIALE E MANUTENZIONE STRAORDINARIA DI PICCOLOI CORSI D'ACQUA.;Infrastrutture / parcheggi;TOSCANA;GROSSETO;ARCIDOSSO;42959630.0;COMUNITA' MONTANA DEL MONTE AMIATA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F93F04000000002
100;H67H04000340005;sistemazione della pavimentazione strade comunali -Viale Kennedy-Via Colle Mezzopane-Via Genazzano-Via Colle Acqua Maggio;Infrastrutture / parcheggi;LAZIO;ROMA;VALMONTONE;42865000.0;COMUNE DI VALMONTONE - RM -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H67H04000340005
100;J69H12000480001;REALIZZAZIONE COMPARTO SCOLASTICO (ASILO NIDO, SCUOLA MATERNA, SCUOLA ELEMENTARE, MENSA, SCUOLA MEDIA, PALESTRA E LICEO CLASSICO;Scuole / formazione;TOSCANA;MASSA-CARRARA;AULLA;42844000.0;PRESIDENZA DEL CONSIGLIO DEI MINISTRI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J69H12000480001
100;F65E22000140001;REALIZZAZIONE DEL NUOVO POLO SCOLASTICO IN TREVIGNANO ROMANO;Scuole / formazione;LAZIO;ROMA;TREVIGNANO ROMANO;42710595.0;COMUNE DI TREVIGNANO ROMANO - ROMA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F65E22000140001
100;E19J18000620006;CONSOLIDAMENTI APP IN ACC. APP DI LAMEZIA (RM), RONCHI (PD), BARI (BR), VERONA (MI), TORINO (MI), GENOVA (MI), NAPOLI (RM), FIRENZE (RM), PALERMO (RM) (TRA PARENTESI GLI ACC DI DESTINAZIONE);Scuole / formazione;TOSCANA;FIRENZE;FIRENZE;42480000.0;ENAV SPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E19J18000620006
