score;cup;title;category;region;province;municipality;value_eur;client;source_url
100;G29J03000020001;GALLERIA DEGLI UFFIZI, FIRENZE: MANUTENZIONE PROGRAMMATA DELL'IMPIANTO DI CLIMATIZZAZIONE;Riqualificazione urbana;TOSCANA;FIRENZE;FIRENZE;181000000.0;MINISTERO DELLA CULTURA;https://www.opencup.gov.it/portale/progetto/-/cup/G29J03000020001
100;F31B01000200001;S.R. EX S.S. N. 2 CASSIA;Infrastrutture / parcheggi;LAZIO;TUTTE;TUTTI;180760000.0;REGIONE LAZIO;https://www.opencup.gov.it/portale/progetto/-/cup/F31B01000200001
100;H28I02000010004;Palazzo Vecchio - ristrutturazione servizi igienici 1° e 3°piano;Riqualificazione urbana;TOSCANA;FIRENZE;FIRENZE;180760000.0;COMUNE DI FIRENZE - FI -;https://www.opencup.gov.it/portale/progetto/-/cup/H28I02000010004
100;C17E03000040005;LAVORI DI REALIZZAZIONE DI AREA DESTINATA A PARCHEGGIO PUBBLICO IN LOCALITA' LUCCIANO;Infrastrutture / parcheggi;TOSCANA;PISTOIA;QUARRATA;180759000.0;COMUNE DI QUARRATA - PT -;https://www.opencup.gov.it/portale/progetto/-/cup/C17E03000040005
100;D17E07000000007;SETTORE IV;Scuole / formazione;LAZIO;RIETI;RIETI;180759000.0;AMMINISTRAZIONE PROVINCIALE DI RIETI;https://www.opencup.gov.it/portale/progetto/-/cup/D17E07000000007
100;G56B11000000006;EFFICIENTAMENTO DELLE RETI DI PUBBLICA ILLUMINAZIONE E DEGLI IMPIANTI SEMAFORICI. SERVIZIO DI AUDIT ENERGETICO;Infrastrutture / parcheggi;LAZIO;ROMA;POMEZIA;180480000.0;COMUNE DI POMEZIA - RM -;https://www.opencup.gov.it/portale/progetto/-/cup/G56B11000000006
100;F77H05000350005;Capranica-S.P. S.Vito-Capranica-Lavori per la costruzione di un muro di sostegno Km. 0+300 e rifacimento pavimentazione dal Km. 0+000 al Km. 1+000;Infrastrutture / parcheggi;LAZIO;VITERBO;CAPRANICA;180000000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/F77H05000350005
100;D84D11000010001;CORTE COSTITUZIONALE - PALAZZO DELLA CONSULTA - ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;180000000.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;https://www.opencup.gov.it/portale/progetto/-/cup/D84D11000010001
100;E85F21004790001;NUOVO OSPEDALE DELGOLFO;Sanità / RSA;LAZIO;LATINA;FORMIA;178869437.0;ASL DI LATINA;https://www.opencup.gov.it/portale/progetto/-/cup/E85F21004790001
100;H24E97000040005;A 1 AUTOSTRADA MILANO NAPOLI;Infrastrutture / parcheggi;TOSCANA;FIRENZE;BARBERINO DI MUGELLO;178594566.0;AUTOSTRADE PER L'ITALIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/H24E97000040005
100;J82D10000500004;AREE A VERDE PUBBLICO DEL COMUNE DI ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;178200000.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J82D10000500004
100;J82D10000520004;AREE A VERDE PUBBLICO DEL COMUNE DI ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;178200000.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J82D10000520004
100;J82D10000530004;AREE A VERDE PUBBLICO DEL COMUNE DI ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;178200000.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J82D10000530004
100;C34H02000040004;Ampliamento cimitero di Pontevalleceppi;Infrastrutture / parcheggi;UMBRIA;PERUGIA;PERUGIA;177555840.0;COMUNE DI PERUGIA - PG -;https://www.opencup.gov.it/portale/progetto/-/cup/C34H02000040004
100;J61B04000040004;Costruzione di un parcheggio lungo Viale Faviani;Infrastrutture / parcheggi;TOSCANA;FIRENZE;CERTALDO;177308000.0;COMUNE DI CERTALDO - FI -;https://www.opencup.gov.it/portale/progetto/-/cup/J61B04000040004
100;J85D09000690004;MUNICIPIO ROMA CENTRO STORICO, VIA PETROSELLI N. 50, 00186 ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;177273610.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J85D09000690004
100;F56G08000530005;A 12 AUTOSTRADA GENOVA ROMA;Infrastrutture / parcheggi;TOSCANA;GROSSETO;ORBETELLO;175572626.0;SOCIETÀ AUTOSTRADA TIRRENICA P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F56G08000530005
100;F66J02000030002;LAVORI DI OPERE DI URBANIZZAZIONE PRIMARIA VIA DI MEZZO INFERIORE II° LOTTO;Scuole / formazione;LAZIO;ROMA;TREVIGNANO ROMANO;175000000.0;COMUNE DI TREVIGNANO ROMANO;https://www.opencup.gov.it/portale/progetto/-/cup/F66J02000030002
100;F21B03000860005;A 12 AUTOSTRADA GENOVA ROMA;Infrastrutture / parcheggi;LAZIO;VITERBO;TARQUINIA;174373000.0;SOCIETÀ AUTOSTRADA TIRRENICA P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F21B03000860005
100;F38B23000830005;ANELLO DEI SIBILLINI. RIFACIMENTO ACQUEDOTTO PESCARA  LINEE SUD INTERCONNESSIONE. ACQUEDOTTO DEL PESCARA  LOTTI 2, 3 E 5;Ambiente / rifiuti / depurazione;MARCHE;ASCOLI PICENO;ASCOLI PICENO;174166708.0;CICLI INTEGRATI IMPIANTI PRIMARI SPA;https://www.opencup.gov.it/portale/progetto/-/cup/F38B23000830005
100;J31H98000030008;NODO DI ROMA;Residenziale pubblico / ERS;LAZIO;ROMA;ROMA;174100000.0;RETE FERROVIARIA ITALIANA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/J31H98000030008
100;F81B16000870001;S.S. N. 7 VIA APPIA;Infrastrutture / parcheggi;LAZIO;LATINA;FORMIA;174000000.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F81B16000870001
100;B34H06000000005;POLO SCIENTIFICO E TECNOLOGICO DI SESTO FIORENTINO (FI) E FACOLTA' DI AGRARIA, FIRENZE: MANUTENZIONE IMPIANTI ELETTRICI DAL 16.06.2006 AL 31.12.2008;Residenziale pubblico / ERS;TOSCANA;FIRENZE;SESTO FIORENTINO;172800000.0;UNIVERSITA' DEGLI STUDI DI FIRENZE;https://www.opencup.gov.it/portale/progetto/-/cup/B34H06000000005
100;D89G16002500001;ROMA CAPITALE - LEGGE 396/90;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;172185820.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/D89G16002500001
100;J27H17000100007;AA 24 AUTOSTRADA ROMA TERAMO E 25 AUTOSTRADA TORANO DI BORGOROSE PESCARA;Infrastrutture / parcheggi;LAZIO;RIETI;BORGOROSE;171604828.0;STRADA DEI PARCHI S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/J27H17000100007
100;B85F25000150002;NUOVO OSPEDALE DI SAN BENEDETTO;Sanità / RSA;MARCHE;ASCOLI PICENO;SAN BENEDETTO DEL TRONTO;170000000.0;REGIONE MARCHE;https://www.opencup.gov.it/portale/progetto/-/cup/B85F25000150002
100;E51I04000020003;Realizzazione di un parcheggio per nodi scambio in località San Rocco;Infrastrutture / parcheggi;LAZIO;ROMA;CAPRANICA PRENESTINA;168303000.0;COMUNE DI CAPRANICA PRENESTINA - ROMA -;https://www.opencup.gov.it/portale/progetto/-/cup/E51I04000020003
100;B34B04000040004;Lavori urbanizzazione primaria a servizio della zona PEEP di Magliano in Toscana capoluogo;Scuole / formazione;TOSCANA;GROSSETO;MAGLIANO IN TOSCANA;168000000.0;COMUNE DI MAGLIANO IN TOSCANA - GR -;https://www.opencup.gov.it/portale/progetto/-/cup/B34B04000040004
100;J15E23000040008;PARCO SCIENTIFICO TECNOLOGICO SANT'ANNA IN SAN GIULIANO TERME - EDIFICI 1, 2, 3 E 4;Riqualificazione urbana;TOSCANA;PISA;SAN GIULIANO TERME;167819777.0;SCUOLA SUPERIORE SANT'ANNA - PISA;https://www.opencup.gov.it/portale/progetto/-/cup/J15E23000040008
