score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;J87H11001260004;MUNICIPIO ROMA 6 VIA TORRE ANNUNZIATA,1;Edilizia pubblica;LAZIO;ROMA;ROMA;199876490.0;ROMA CAPITALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J87H11001260004
100;J88J11000270004;LAVORI DI POTATURA DELLE ALBERATE STRADALI DI ALTO FUSTO NEL MUNICIPIO ROMA XIII;Edilizia pubblica;LAZIO;ROMA;ROMA;187499000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J88J11000270004
100;B54B02000020001;PRES. DELLA REPUBBLICA - Tenuta Castelporziano - lavori s.u. consolidamento e risanamento ambienti studio e locali limitrofi nel fabbricato Castello;Edilizia pubblica;LAZIO;ROMA;ROMA;183120850.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B54B02000020001
100;J85D09000690004;MUNICIPIO ROMA CENTRO STORICO, VIA PETROSELLI N. 50, 00186 ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;177273610.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J85D09000690004
100;J86J07000610004;RIASFALTATURA DI VIA TORRENOVA E COLLEGAMENTO VIARIO RICADENTE NEL MUNICIPIO VIII ROMA DELLE TORRI;Edilizia pubblica;LAZIO;ROMA;ROMA;161952000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J86J07000610004
100;J85D11000940004;SCUOLE MEDIE, UFFICI E CENTRI DI ASSISTENZA DI COMPETENZA DEL MUNICIPIO ROMA XI;Edilizia pubblica;LAZIO;ROMA;ROMA;156862000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J85D11000940004
100;H57D03000000002;Sede Comunale - Completamento -L.R.88/80 - Es. Fin. 2003 - D.G.R. n.1308/2000 - Mutuo Cassa DD.PP. Pos. n.4404287 00;Edilizia pubblica;LAZIO;FROSINONE;PIGLIO;154937000.0;COMUNE DI PIGLIO - FROSINONE -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H57D03000000002
100;E41H01000000014;cablaggio della rete di trasmissione dati del fabbricato comunale sito in Via Calegna destinato a sede distaccata del Tribunale di Latina e opere murarie connesse;Edilizia pubblica;LAZIO;LATINA;GAETA;141588840.0;COMUNE DI GAETA - LATINA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E41H01000000014
100;E76B02000010002;ALLOGGI DI EDILIZIA RESIDENZIALE PUBBLICA;Edilizia pubblica;TOSCANA;LUCCA;MASSAROSA;134072210.0;E.R.P. LUCCA S.R.L. (SOGGETTO GESTORE DELL'EDILIZIA RESIDENZIALE PUBBLICA DELLA PROVINCIA DI LUCCA S.R.L.);programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E76B02000010002
100;C13J07000050004;COSTRUZIONE NUOVA SEDE CIIP IN LOCALITA' MALISCIA;Edilizia pubblica;MARCHE;ASCOLI PICENO;MONTALTO DELLE MARCHE;122602000.0;COMUNE DI MONTALTO DELLE MARCHE - AP -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C13J07000050004
