cig;cup_count;cups
6960614063;1;C79G14000990001
6963404EC0;1;C79H11000700003
69703155E6;1;F31B05000510001
6970366FF9;1;F31B05000510001
6970709B08;1;H41H14000130009
69734229DF;1;C69G15001840001
6974101A33;1;F32E10000080008
69752362D7;1;F32E10000080008
6980538A2E;1;C79H11000700003
6987279509;1;H41E13000230003
6987312046;1;H41E13000230003
69873542EE;1;H41E13000230003
6996831F95;1;I24B13000350003
6997131729;1;I24B13000350003
700533487D;1;J86J13000450002
7006204670;1;C69G15001840001
700801199E;1;C79H11000700003
70167759E6;1;C79H11000700003
70168263FE;1;C79H11000700003
7017474ABB;1;C79H11000700003
70252961A9;1;C79H11000700003
7030489F0B;1;F32E10000080008
70316637DE;1;J69H12000480001
703766400F;1;F32E10000080008
70376726A7;1;F32E10000080008
70376769F3;1;F32E10000080008
7037679C6C;1;F32E10000080008
7037690582;1;F32E10000080008
70376959A1;1;F32E10000080008
7037700DC0;1;F32E10000080008
704034654F;1;G88I15000040008
7050200915;1;C79H11000700003
705227054E;1;B93B07000090003
705231499C;1;C69G15001840001
7070950C85;1;F84E07000270001
7071147F16;1;F84E07000270001
7071477F69;1;F84E07000310001
7074494920;1;G31B05000020002
71026571FA;1;F32E10000080008
71088096C3;1;D12J09000400001
7109111FF8;1;C69G15001840001
71105546C8;1;B51B99000010003
71140560BB;1;C69G15001840001
71162703C7;1;G31B05000020002
7116572CFC;1;H69H09000500003
7118840C99;1;C41B03000140003
71191246F8;1;I91B15000180004
7119178389;1;G61B06001160007
7129977327;1;B46G13001210005
7133568689;1;C69G15001840001
71387678E2;1;D76J17000310003
714390373F;1;C69G15001840001
71443410B4;1;E59D16002030002
7151330833;1;J69H12000480001
7156798889;1;G61B06001160007
71568481CE;1;F31B02000110002
7173539FA3;1;E31G13000010004
7173596EAD;1;E31G13000010004
7173940A8F;1;G31B05000020002
7175555F4B;1;C79H11000700003
71811719C5;1;B51B99000010003
7196761B0B;1;E31G13000010004
720259161E;1;H69H09000500003
72102896B5;1;B77E99002500003
72280729B3;1;I91B15000180004
72311559DF;1;H41E13000230003
7235125606;1;B85I17000320001
7235831CA0;1;J69H12000480001
7268346CDA;1;B85I17000320001
72697134F2;1;B81B08000620001
727012481C;1;F21B07000310001
72704759C3;1;C79H11000700003
7275421B54;1;C79H11000700003
7284885D44;1;B85I17000320001
7284921AFA;1;B85I17000320001
7284940AA8;1;B85I17000320001
7285056A62;1;B85I17000320001
72851453D6;1;B85I17000320001
72851908F7;1;B85I17000320001
7285199067;1;B85I17000320001
7285211A4B;1;B85I17000320001
7285222361;1;B85I17000320001
7285232B9F;1;B85I17000320001
72852488D4;1;B85I17000320001
72853068B1;1;B85I17000320001
7285321513;1;B85I17000320001
7285334FCA;1;B85I17000320001
72853561F6;1;B85I17000320001
728537734A;1;B85I17000320001
7285388C5B;1;B85I17000320001
729359402D;1;H17B16000800005
731597558E;1;J14I12000000004
73160378B7;1;J14I12000000004
7316772742;1;C79H11000700003
7321108172;1;G31B05000020002
7327058F86;1;F71B16000510001
7334801543;1;H17B16000800005
7340707F09;1;D97B14000720001
734986654B;1;C69G15001840001
7354797A7A;1;B41B09000260005
7355782754;1;H17B16000800005
7356272BAF;1;H17B16000800005
735737169D;1;C79G14000990001
7368861078;1;F21B96000000001
7374515A49;1;H17B16000800005
7377429EFD;1;I76H14000090008
740198359A;1;C69G15001840001
7404224EEC;1;J37B16000490003
74136544D1;1;F91B16000460001
7413704E11;1;F84E07000310001
741377697D;1;F84E07000310001
74202339F9;1;H17B16000800005
743263546F;1;E31G13000010004
7433654D54;1;H17B16000800005
74338574DC;1;H17B16000800005
7434510FB8;1;C69G15001840001
7445908DA6;1;F42E17000060001
7451677663;1;C41B03000140003
7455322656;1;D62H16000010002
7455499866;1;C94H17000710005
7462434359;1;C69G15001840001
74691823F9;1;H17B16000800005
746919812E;1;H17B16000800005
74748129FD;1;F32E10000080008
74773318BC;1;C94H17000710005
748859366F;1;C69G15001840001
749000647B;1;C79H11000700003
7493471FE0;1;B85I17000320001
7495389EA9;1;B91B03000190009
74958288F1;1;I55E17000050005
7499861914;1;J35I18000020002
7500627136;1;F31B02000080001
7502909C5D;1;H17B16000800005
7505328897;1;H17B16000800005
7505377109;1;F31B05000510001
7505839E46;1;H17B16000800005
7505876CCF;1;H17B16000800005
750591904F;1;H17B16000800005
7508140920;1;F31B05000510001
750855606E;1;B88E18000030005
75114883FD;1;C69G15001840001
7511963BF6;1;C41B03000140003
7516985C3F;1;F32E10000080008
7522222DF4;1;C69G15001840001
7543733567;1;F32E10000080008
754513498A;1;D12J09000400001
754838545B;1;H17B16000800005
7550856B7B;1;H17B16000800005
7550857C4E;1;H17B16000800005
7550914B58;1;C69G15001840001
7552330BDD;1;H17B16000800005
7552492190;1;H17B16000800005
7561951F5C;1;F32E10000080008
7563923AB6;1;H17B16000800005
7564869761;1;D88G84000000001
7566211AD4;1;F32E10000080008
7568513681;1;H17B16000800005
7569219D1B;1;H17B16000800005
7570444006;1;H17B16000800005
757089328C;1;C69G15001840001
7570900851;1;C69G15001840001
7572719568;1;C69G15001840001
75752920B8;1;C69G15001840001
7575816123;1;G31B05000020002
7575936429;1;C94H17000710005
7576084E48;1;C69G15001840001
75764582EE;1;B37H18000330003
7580187831;1;C69G15001840001
75814201B4;1;G86I18000050001
7582092C3E;1;F31B05000510001
758709198D;1;C69G15001840001
7587883722;1;F22C16000620001
75879373B3;1;F22C16000620001
7587965ACC;1;F22C16000620001
75896877D7;1;F32E10000080008
759152007D;1;F32E10000080008
759515040E;1;H17B16000800005
7596483016;1;H17B16000800005
75979499DB;1;H17B16000800005
7608207B06;1;C41B03000140003
7609727161;1;E25E18000110005
76141123FE;1;C79H11000700003
7616732615;1;H17B16000800005
76278637AC;1;F31B02000080001
7632016AD5;1;H17B16000800005
7632407D7E;1;H17B16000800005
763244902B;1;H17B16000800005
7632720FC9;1;C79H11000700003
7635807346;1;B34C12000150004
7637037A4B;1;H41H14000130009
7640587BD8;1;B51B99000010003
7641676E83;1;C69G15001840001
7641944BAD;1;C69G15001840001
76444038E9;1;H57B12000330001
7651297207;1;H17B16000800005
765157469C;1;H17B16000800005
7651867866;1;G79J18000420001
7652432AA6;1;H17B16000800005
765773205C;1;H33J12000510003
766072998D;1;H69J02000070007
7661737961;1;F31B02000110002
7661943362;1;B52I05000010001
7672156F67;1;H41H14000130009
7678090050;1;H17B16000800005
76781165C3;1;H17B16000800005
7703152A1E;1;H17B16000800005
7703247884;1;H17B16000800005
7703290BFF;1;H17B16000800005
7703311D53;1;H17B16000800005
77165591EF;1;B51B99000010003
77219388D1;1;J69H12000480001
7724465E28;1;J69H12000480001
772917904A;1;C41B03000140003
77332618DA;1;H17B16000800005
7733299836;1;H17B16000800005
77333312A0;1;H17B16000800005
7733515A75;1;C69G15001840001
7737340EF1;1;H53B11000320003
7743902616;1;H17B16000800005
774568664A;1;H17B16000800005
7745813F15;1;H17B16000800005
7745915345;1;H17B16000800005
7746029159;1;D19H05000040003
7747058281;1;H17B16000800005
7749388547;1;H17B16000800005
774985242F;1;H17B16000800005
7749972735;1;H17B16000800005
7750038DAA;1;H17B16000800005
77501412AD;1;H17B16000800005
7768049CD0;1;I55E17000050005
776819447B;1;C69G15001840001
77681976F4;1;C69G15001840001
7775467659;1;C69G15001840001
7777783D90;1;H17B16000800005
7778014C31;1;H17B16000800005
7780520039;1;C69G15001840001
7782512C0F;1;F84E07000270001
778254032D;1;F84E07000270001
7782557135;1;F84E07000270001
7785490597;1;G18I15000020006
7800018A78;1;C69G15001840001
7800703FBE;1;C69G15001840001
7800998333;1;H17B16000800005
7801205E02;1;H17B16000800005
78019325F5;1;E25E18000110005
780206106B;1;H17B16000800005
78022582FC;1;H17B16000800005
7816556A0F;1;B85I17000320001
78187447A8;1;B85I17000320001
7830292160;1;H17B16000800005
7840623EC5;1;B94H18000020005
784072856E;1;J37B16000490003
784162272E;1;C69G15001840001
7850666E84;1;H41H14000130009
7858851102;1;H17B16000800005
7859015856;1;H17B16000800005
78595680B2;1;E31G13000010004
7860635136;1;H17B16000800005
786959640F;1;D19H05000040003
7882067773;1;D72G18000050001
78854753D3;1;C68F17000040003
7886009C7C;1;H17B16000800005
7886222C42;1;H17B16000800005
788652999B;1;H17B16000800005
7888074496;1;C69G15001840001
7889467221;1;D62H16000010002
7891555D30;1;B87G19000000005
78920440BD;1;J58F19000000008
