cup;cig;source_dataset
G31B05000020002;Z23254BB86;cup_csv.csv
E81D22000050003;B8F01B178D;cup_csv.csv
J11B18000130007;9465307A6D;cup_csv.csv
D31B09000010002;ZF20377A9B;cup_csv.csv
F61B20000490001;B6B0A3343F;cup_csv.csv
J72D10000650001;62456476F2;cup_csv.csv
H41H14000130009;ZCA3ADB04B;cup_csv.csv
H41E13000230003;Z2519A52B0;cup_csv.csv
J37H19002880001;813820640B;cup_csv.csv
D31B09000010002;ZE50EE333A;cup_csv.csv
D33I06000080001;ZF5048B786;cup_csv.csv
E81B21000130003;B0AEBCCBC4;cup_csv.csv
I41B21003430008;B119D82EB5;cup_csv.csv
J71B18000090006;Z923B689C5;cup_csv.csv
F37J22000010007;BA46B856F5;cup_csv.csv
D31B09000010002;Z65107E6F8;cup_csv.csv
C69G15001840001;B828CE6DE4;cup_csv.csv
E81D22000050003;A06D98B299;cup_csv.csv
G95E18000180001;Z0B382086A;cup_csv.csv
D31B09000010002;Z760F55E29;cup_csv.csv
H77H21000500005;B6A562D4E0;cup_csv.csv
J37H19002880001;81369263C1;cup_csv.csv
G52E22000020002;9970245A72;cup_csv.csv
H17B16000800005;74338574DC;cup_csv.csv
D31B09000010002;ZA800D853C;cup_csv.csv
H17B16000800005;750591904F;cup_csv.csv
H17B16000800005;80669208F8;cup_csv.csv
I52B25001570007;B96FDF639C;cup_csv.csv
I71B02000030019;5224189125;cup_csv.csv
F25F24000290005;B69DE08F62;cup_csv.csv
D31B09000010002;Z9420902BD;cup_csv.csv
I41B21003430008;92309168DB;cup_csv.csv
F93G22000030001;9795496B02;cup_csv.csv
C69G15001840001;ZC21EF2B2B;cup_csv.csv
D77H20002630004;B4D9CC295B;cup_csv.csv
C79H11000700003;Z55276B30D;cup_csv.csv
F72F22001080004;B9A42436BD;cup_csv.csv
F42E17000060001;ZCF340F331;cup_csv.csv
H48B22000360002;B163C63337;cup_csv.csv
D77H20002630004;B2F6B67217;cup_csv.csv
G52E22000020002;B0A6A3AF03;cup_csv.csv
F37J22000010007;B31104F9D8;cup_csv.csv
C69G15001840001;ZB029BB942;cup_csv.csv
H17B16000800005;85337419D8;cup_csv.csv
H87H20001200005;B72358C7E7;cup_csv.csv
J58F19000000008;9240768AFB;cup_csv.csv
H48I25000000002;B79ED1AF65;cup_csv.csv
G83I22000410007;B0CE4F7C7B;cup_csv.csv
C65E19000360001;A063E13698;cup_csv.csv
J81I10001100007;ZC1339B15A;cup_csv.csv
