cig;cup_count;cups
85852769DF;1;C63D16001790008
8602136331;1;D43H20000140001
8606878C67;1;D43H20000170001
86081294C5;1;B97B16000030003
86096392DD;1;D31B19000200003
8614490608;1;E81D22000050003
86150135A0;1;B11B13000160001
8620157A95;1;B85I17000320001
8622789695;1;G53H20000070005
8623276877;1;E31B13000630003
862538440C;1;E31B13000630003
86255225ED;1;I55E17000050005
8625744D1E;1;B46D08000000007
862587051B;1;E31B13000630003
8630714281;1;E31B13000630003
863651232A;1;F78I18000070008
8637511B8E;1;C31H04000120005
8637999E43;1;B85I17000320001
8639635458;1;E61B13000460002
8641191864;1;D37B13000300002
86415955C9;1;E31B16000650007
864163137F;1;C64H16003300001
8644648D31;1;E31B13000630003
86447712B5;1;E31B13000630003
8644822CC8;1;E31B13000630003
8645113CEC;1;E31B13000630003
8647170E69;1;E31B13000630003
86524481F8;1;B19J17000300005
86543313DE;1;B99J18002450005
8656095391;1;D66B19003740001
865816609D;1;B88E18000030005
866367746E;1;I19C12000030002
8670422295;1;E31B13000630003
8671000F8C;1;B88E18000030005
8674256E7C;1;G83B21000000005
8674274D57;1;G83B21000000005
8674335FAD;1;G83B21000000005
86743804D3;1;G83B21000000005
86743858F2;1;G83B21000000005
8674394062;1;G83B21000000005
86750047C3;1;B85I17000320001
8683364AA6;1;F97H20002010001
86891945B9;1;C63D16001790008
86919529B1;1;F17H20002700001
86928449CB;1;F83E17000070005
8692921956;1;F83E17000070005
8693269884;1;F87H20003020001
8697276334;1;B99J18002450005
86996065FA;1;E31B13000630003
8699714F17;1;F97H20002010001
8706649A0A;1;H74E07000110005
87108504D2;1;H63H18000320002
87126523E1;1;B99J18002450005
87168002EB;1;D89J21002890001
8717644B66;1;J57B20000750001
8718045652;1;B86J19000030005
8718849DCB;1;B97B16000030003
87203547C4;1;C64H16003300001
8720960BD9;1;B99J18002450005
87271239B8;1;I13I05000020001
8727579208;1;C64H16003300001
873336699B;1;D51B17001660001
87341218A7;1;F84H20001640001
87444379AF;1;H74E07000110005
8746220910;1;D17B04000080005
8746649B15;1;D71B17002010001
87477843B9;1;F49G13000240003
8751762678;1;B99D15000660003
875301614F;1;B99D15000660003
8756097FD0;1;F73J08000040001
8756725611;1;E61B13000460002
8761641EDE;1;I57B17000150005
87633408EF;1;F43G18000010001
876478730B;1;D71B17002010001
876482633A;1;D51B17001660001
8769979F9A;1;B26B18000100008
877080486C;1;D71B17002010001
87733930F1;1;E72E22000680005
8780449FB8;1;B85I17000320001
8784995735;1;B46D08000000007
879234047F;1;D17B14000280003
879582613D;1;H15F21000630001
88011624A4;1;B26B18000100008
8803011A7A;1;D91B18000030001
8803673CC6;1;D91B18000030001
880388186D;1;B87G19000000005
88098538AD;1;C66D16010700001
88101459A4;1;I57B17000150005
8811431EE0;1;D91B18000030001
8814941F6B;1;B36G18002460005
8815947D99;1;B87G19000000005
882572637F;1;D71B17002010001
8826089F0A;1;F87B14000620005
882675222E;2;B16B19000040003 | B16B19000050003
882689040F;1;B19J21003910005
882894865F;1;D71B17002010001
882925648B;1;D89D14000080001
8835102CCE;1;H58I21002190008
8837628157;1;B19J17000300005
8839407D67;1;B11B13000160001
88404065D0;1;D51B17001660001
8842587D9F;1;D51B17001660001
8842919F98;1;D73I18000030005
88448698CB;1;D91B18000030001
8845328394;1;D51B17001660001
8845342F1E;1;D91B18000030001
8845418DD6;1;B97B16000030003
88465568F3;1;G82E18000300005
8848096FCA;1;D71B17002010001
8848910F86;1;H63H18000320002
8849124024;1;D91B18000030001
8851064114;1;B85I17000320001
8853614965;1;E18B18001310001
88546700D8;1;D91B18000030001
8855283AB2;1;G53H20000070005
8855794066;1;D91B18000030001
8856292B59;1;D91B18000030001
88585323DD;1;D91B18000030001
885905751B;1;D91B18000030001
8859220B9C;1;D73I18000030005
8859365347;1;D51B17001660001
88594075EF;1;F76H17000090001
8860273096;1;D51B17001660001
8863082EA1;1;E91F19000040007
8863876DDC;1;B99J18002450005
8867913150;1;I83J10001420003
88772889CC;1;F17H13000890001
88829878C3;1;D17B16000110008
888478113A;1;B21B05000450003
8892570CE6;1;F93E15000000001
8895978946;1;C63D16001790008
890092078B;1;D51B17001660001
8906014340;1;B83C16000020005
89069030E1;1;D17B04000080005
8912231DAB;1;E83H18000390001
8912427F69;1;E83H18000390001
8914827BF5;1;B84B13000140001
8920362398;1;E73H06000010001
8925439145;1;B19J17000300005
8926110AFC;1;D17B14000280003
8926655CBB;1;D31B19000200003
8929535564;1;D66B19003740001
8933099280;1;J32H18000520001
89391969E5;1;D14B10000560002
8940269F5B;1;D37B13000300002
8943817F42;1;H11B21006480002
8948587F96;1;F87H20003020001
894865795C;1;B99J18002450005
8949710E51;1;B88E18000030005
89596400D4;1;G53H20000070005
8964407EAA;1;D37B13000300002
89653519AF;1;F83I23000080001
896751537B;1;B67H21009370008
89675586F6;1;B67H21009370008
8967627FE4;1;B67H21009370008
