cup;cig;source_dataset
H87G26000000002;BAF404A063;cup_csv.csv
J81B22001940006;Z6736DC7FB;cup_csv.csv
F37J22000010007;B64624DA43;cup_csv.csv
J12C22000130006;9833836230;cup_csv.csv
H18E23000180004;A02BC705C3;cup_csv.csv
F13D21002220001;B5428709E6;cup_csv.csv
D63B05000020007;Z5E0D726A8;cup_csv.csv
B81B04000140009;Z863BAF3F5;cup_csv.csv
J81B22001940006;Z8E3CA3657;cup_csv.csv
H11B21001880001;9377787AA3;cup_csv.csv
J45B17000720002;930918132F;cup_csv.csv
G53H20000070005;8855283AB2;cup_csv.csv
C45E22000290001;9235979AF9;cup_csv.csv
I71B02000030019;Z98047F8C2;cup_csv.csv
I81B06000030002;Z7B03D30C4;cup_csv.csv
E81D22000050003;B8F01B178D;cup_csv.csv
D71B17002010001;822462359B;cup_csv.csv
B12F12000000003;Z1B03A87F0;cup_csv.csv
D73I18000030005;Z3331236A5;cup_csv.csv
B99J18002450005;7917571A46;cup_csv.csv
B97B16000030003;ZAB240FBA0;cup_csv.csv
I19C12000030002;B125247BB3;cup_csv.csv
D73D21000360005;ZB0379D886;cup_csv.csv
C63D16001790008;B7FFF9D244;cup_csv.csv
F19H17000010001;Z9E2B0FBE4;cup_csv.csv
I41B05000340006;5634005002;cup_csv.csv
J12C22000130006;B288062440;cup_csv.csv
G21B18000450007;ZD92C90391;cup_csv.csv
F37J22000010007;BA46B856F5;cup_csv.csv
E81D22000050003;A06D98B299;cup_csv.csv
C94E04000050056;Z1C0E8800A;cup_csv.csv
I83J10001420003;B736FE3EAA;cup_csv.csv
H72C17000130002;97855191BD;cup_csv.csv
I18I21000790006;A043D8093F;cup_csv.csv
D48E18000060002;9920751EB3;cup_csv.csv
C63D16001790008;B7465F0AD6;cup_csv.csv
B71B15000160005;Z5B16CCFA0;cup_csv.csv
E44E15001680007;6441909F76;cup_csv.csv
F43D21002040001;9860560786;cup_csv.csv
B71B15000160005;Z5727F41F5;cup_csv.csv
H44F25000270007;B7F0B1FF59;cup_csv.csv
J45B17000720002;75504425D8;cup_csv.csv
B89H18000560001;ZAA2B7FC7B;cup_csv.csv
B71B15000160005;Z7827F5E76;cup_csv.csv
F91B18000330002;A0038B5C9E;cup_csv.csv
I84B24000010001;B9553DB179;cup_csv.csv
J86G20000140004;857539824C;cup_csv.csv
I93F23000000001;B2DDADFAB2;cup_csv.csv
I71B02000030019;5224189125;cup_csv.csv
F83G22000620001;A06889207D;cup_csv.csv
F12F22001090004;B0DC37ABD6;cup_csv.csv
G82E21000280005;B54738820E;cup_csv.csv
F93G22000030001;9795496B02;cup_csv.csv
J57B20000750001;8717644B66;cup_csv.csv
D91B18000030001;7401645EAA;cup_csv.csv
B89H18000560001;Z3131B2E5D;cup_csv.csv
D31B18000530002;81111393A6;cup_csv.csv
D91B18000030001;7398067604;cup_csv.csv
F19H17000010001;A0346118F3;cup_csv.csv
B23D18000270001;B951C9A8A4;cup_csv.csv
F37J22000010007;B31104F9D8;cup_csv.csv
J34J13000000001;ZED12E3AE6;cup_csv.csv
I65F22000490003;A0348A2720;cup_csv.csv
B71B15000160005;Z371ED0EB9;cup_csv.csv
I51C19000000007;777779142D;cup_csv.csv
D51B17001660001;9119260B68;cup_csv.csv
F88B22001130002;A017226598;cup_csv.csv
C31H04000120005;7302680A2B;cup_csv.csv
B97B16000030003;ZD423F4C7C;cup_csv.csv
I81B06000030002;ZF304C42E6;cup_csv.csv
F43D21002040001;A009037358;cup_csv.csv
J94J24000280002;B4F6D198CF;cup_csv.csv
C61B03000140004;Z822A060E0;cup_csv.csv
B71B15000160005;ZE229CE6FE;cup_csv.csv
D31B18000530002;98693594B1;cup_csv.csv
F17B22001980004;B0F3D18A72;cup_csv.csv
H99H05000020003;ZF004A4B1C;cup_csv.csv
F76H17000090001;Z5434DAF6F;cup_csv.csv
D51B17001660001;7266837F95;cup_csv.csv
J12C22000130006;A0505583D2;cup_csv.csv
D81B24000070002;B7FCB5C337;cup_csv.csv
C35F21000380001;B7C4D12599;cup_csv.csv
F13D21005300006;9501589F46;cup_csv.csv
D73I18000030005;Z413B037BC;cup_csv.csv
F84H20001640001;9312725FC5;cup_csv.csv
E81D22000050003;A06D6EB80A;cup_csv.csv
F23H19000870001;B293B13448;cup_csv.csv
F75F22000570001;A0444C482B;cup_csv.csv
C16G21013900001;9736948FAA;cup_csv.csv
D51B17001660001;7637791884;cup_csv.csv
B72B22000050001;B16AEBBF38;cup_csv.csv
H72C17000130002;ZAD351139B;cup_csv.csv
C68B22000170005;B343B3BB7B;cup_csv.csv
F86J22000360001;B17EBD2AF4;cup_csv.csv
B29J21000700001;9564463C8B;cup_csv.csv
F61B22001690004;9768739A6F;cup_csv.csv
E91F19000040007;Z5E2A9F90D;cup_csv.csv
F83H98000000001;2501179633;cup_csv.csv
I65F22000500003;96983324BF;cup_csv.csv
I57B17000150005;8761641EDE;cup_csv.csv
B97B16000030003;8845418DD6;cup_csv.csv
B89H18000560001;8564807E50;cup_csv.csv
E81D22000050003;A06D88AE80;cup_csv.csv
B84B13000140001;Z35310422A;cup_csv.csv
C91B21003980001;923572595E;cup_csv.csv
I18I21000790006;9312224259;cup_csv.csv
F84H20001640001;ZAE318910F;cup_csv.csv
B23D18000270001;8167863DC3;cup_csv.csv
D89J21002890001;B83E78150A;cup_csv.csv
B19G16000310009;ZB31AA62CF;cup_csv.csv
D31B19000200003;9270536053;cup_csv.csv
F13D21002220001;B29244B78F;cup_csv.csv
B81B19001910001;B7B2832572;cup_csv.csv
F83G22000620001;A06A74ED5A;cup_csv.csv
I81B06000030002;Z3303EB441;cup_csv.csv
F17B22001980004;B0DCE9DC8E;cup_csv.csv
F93G22000030001;BA86672F0D;cup_csv.csv
E97H21005520001;B4481F37AB;cup_csv.csv
I65F22000810005;A06ACF0357;cup_csv.csv
D63B05000020007;Z9614AE2D9;cup_csv.csv
D32J25000240001;BA24739EE9;cup_csv.csv
C35F21000210008;9225634205;cup_csv.csv
B45B22000200001;9894248FBB;cup_csv.csv
C94E04000050066;ZEF0DA158F;cup_csv.csv
C35F21000240001;B5AC3B14A0;cup_csv.csv
B85I17000320001;91812807EF;cup_csv.csv
J94J24000280002;B4EB591464;cup_csv.csv
H11B21001880001;B7F02A1D4F;cup_csv.csv
D27H24000400001;BA09EB1958;cup_csv.csv
H61B22000320006;A0032003B7;cup_csv.csv
I57B17000150005;Z861F858DE;cup_csv.csv
F47B15000500003;ZC32CD390E;cup_csv.csv
B17H21006990001;A06373D274;cup_csv.csv
J86I22000000006;B774AEF81B;cup_csv.csv
F84E24000170006;B9E2D50520;cup_csv.csv
H14H17000940004;A0191F87E2;cup_csv.csv
H94E21000070006;A00229066B;cup_csv.csv
B19J21003910005;Z4D38AD0C5;cup_csv.csv
I42E20000050001;9423534244;cup_csv.csv
F62C21000590001;93083071F0;cup_csv.csv
I57B17000150005;Z7826BBC94;cup_csv.csv
G31B21006920002;B5DC706A97;cup_csv.csv
F61B22001690004;B2EF95B4C9;cup_csv.csv
H94E21000070006;9786038E04;cup_csv.csv
D31B18000530002;73512478ED;cup_csv.csv
G83B18006680001;B6648C087F;cup_csv.csv
C35F21000230008;991741803D;cup_csv.csv
J81B22001940006;987321746A;cup_csv.csv
E81D22000050003;A06D8541F4;cup_csv.csv
D72G18000050001;Z29393A2E4;cup_csv.csv
F37J22000010007;B1C31DE0FE;cup_csv.csv
D73I18000030005;B483C4A37D;cup_csv.csv
E81D22000050003;BAABB619FC;cup_csv.csv
E18B18001310001;Z4A32A1152;cup_csv.csv
F93G22000030001;B9F8E35CDE;cup_csv.csv
F93E15000000001;Z253018007;cup_csv.csv
C63D16001790008;ZEF2DBD1B7;cup_csv.csv
J86G20000130004;A05CF22958;cup_csv.csv
F89B18000240001;Z9724EAC50;cup_csv.csv
F83E17000070005;86928449CB;cup_csv.csv
E31B20000400001;Z6936B6B92;cup_csv.csv
J84E21001160005;97716447B8;cup_csv.csv
H72C17000130002;B0EAA25645;cup_csv.csv
F85I21000050005;9568079492;cup_csv.csv
J61B21004810002;90717569DE;cup_csv.csv
G82H19000120005;931379639A;cup_csv.csv
C35B22000140005;A04FFD9AB8;cup_csv.csv
F87H22005460001;B7A3A1347D;cup_csv.csv
I55E17000050005;B64BECF147;cup_csv.csv
D17B14000280003;8141748EFB;cup_csv.csv
H99H10000770003;ZE41D1ADE6;cup_csv.csv
G32E22000040003;84317368A8;cup_csv.csv
G82H19000120005;9314261355;cup_csv.csv
F37J22000010007;B248E008E9;cup_csv.csv
C63D16001790008;B3F1F9A4DD;cup_csv.csv
D73I18000030005;9517415351;cup_csv.csv
D63B05000020007;7052147FCA;cup_csv.csv
I89J02000030003;ZDF11E4F3D;cup_csv.csv
F23H19000870001;A04016A3A0;cup_csv.csv
D73I18000030005;Z2A3D8B008;cup_csv.csv
J97B15000400003;6775941367;cup_csv.csv
F88B22001130002;A066B65CDC;cup_csv.csv
B84B13000140001;955816601C;cup_csv.csv
C16G21013900001;A04A91E83A;cup_csv.csv
E81D22000050003;A06D86A41B;cup_csv.csv
B51B21007170002;B90969EF4E;cup_csv.csv
D63B05000020007;Z061065BBA;cup_csv.csv
D72G18000050001;B0FC98F4C2;cup_csv.csv
C63D16001790008;B2B113AFA8;cup_csv.csv
B31B21003710001;931365928C;cup_csv.csv
B19J21003910005;940581219C;cup_csv.csv
G11B22000280006;9698651BFC;cup_csv.csv
G18C22001100006;9907428C37;cup_csv.csv
B89H18000560001;Z2E30E69A7;cup_csv.csv
I87G22000270001;B0EFBBCAC3;cup_csv.csv
B29J21000700001;Z9838FDBAC;cup_csv.csv
