score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;J56J03000020002;Museo diffuso del Grappa, dal Brenta al Piave;Cultura / centri civici;VENETO;TREVISO;PEDEROBBA;124990000.0;COMUNITA' MONTANA DEL GRAPPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J56J03000020002
100;B69D03000000002;LAVORI DI COMPLETAMENTO CENTRO CULTURALE -2° INTERVENTO -;Cultura / centri civici;SARDEGNA;SASSARI;OSSI;103291000.0;COMUNE DI OSSI - SS -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B69D03000000002
100;D33I06000080001;Nuova sede della Facoltà di Giurisprudenza,della Facoltà di Scienze Politiche e della Biblioteca Interdipartimentale;Cultura / centri civici;PIEMONTE;TORINO;TORINO;91302000.0;UNIVERSITA' DEGLI STUDI DI TORINO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D33I06000080001
100;J39I08000000005;AUDITORIUM (EX CHIESA DI SAN LORENZO);Cultura / centri civici;VENETO;BELLUNO;LOZZO DI CADORE;65000000.0;COMUNE DI LOZZO DI CADORE - BELLUNO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J39I08000000005
100;H11E16001140001;NUOVO TEATRO DELLOPERA DI FIRENZE;Cultura / centri civici;TOSCANA;FIRENZE;FIRENZE;60000000.0;COMUNE DI FIRENZE - FI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H11E16001140001
100;G95I07000060007;AZIENDA AGRICOLA GOLLIA S.S.;Edilizia pubblica;SICILIA;CATANIA;BRONTE;526163820.0;REGIONE AUTONOMA DELLA SICILIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G95I07000060007
100;J81I05000070002;LINEA A, METROPOLITANA DI ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;379815868.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J81I05000070002
100;J87H11001260004;MUNICIPIO ROMA 6 VIA TORRE ANNUNZIATA,1;Edilizia pubblica;LAZIO;ROMA;ROMA;199876490.0;ROMA CAPITALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J87H11001260004
100;J88J11000270004;LAVORI DI POTATURA DELLE ALBERATE STRADALI DI ALTO FUSTO NEL MUNICIPIO ROMA XIII;Edilizia pubblica;LAZIO;ROMA;ROMA;187499000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J88J11000270004
100;B54B02000020001;PRES. DELLA REPUBBLICA - Tenuta Castelporziano - lavori s.u. consolidamento e risanamento ambienti studio e locali limitrofi nel fabbricato Castello;Edilizia pubblica;LAZIO;ROMA;ROMA;183120850.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B54B02000020001
100;J85D09000690004;MUNICIPIO ROMA CENTRO STORICO, VIA PETROSELLI N. 50, 00186 ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;177273610.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J85D09000690004
100;E28F04000000002;LAVORI DI RISTRUTTURAZIONE MUNICIPIO;Edilizia pubblica;FRIULI-VENEZIA GIULIA;UDINE;CAMPOLONGO TAPOGLIANO;169982000.0;COMUNE DI CAMPOLONGO AL TORRE - UDINE -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E28F04000000002
