municipality;municipality_norm;province;province_norm;province_code;region;branch;branch_candidates;confidence;caps
Raccuja;RACCUJA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98067
Reitano;REITANO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
Rina;RINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98038
Rocca Di Capri Leone;ROCCA DI CAPRI LEONE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
Roccafiorita;ROCCAFIORITA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98030
Roccalumera;ROCCALUMERA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98027
Roccavaldina;ROCCAVALDINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Roccella Valdemone;ROCCELLA VALDEMONE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98030
Rocchenere;ROCCHENERE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98020
Rodi' Milici;RODI MILICI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98059
Rodia;RODIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98161
Rometta;ROMETTA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98043
Rometta Marea;ROMETTA MAREA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98043
Rubino;RUBINO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Salice;SALICE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98154
Salice Calabro;SALICE CALABRO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98154
Salina';SALINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
San Basilio;SAN BASILIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
San Basilio Di Novara Di Sicilia;SAN BASILIO DI NOVARA DI SICILIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98058
San Cosimo;SAN COSIMO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98066
San Filippo;SAN FILIPPO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98144 | 98145
San Filippo Del Mela;SAN FILIPPO DEL MELA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98044
San Filippo Inferiore;SAN FILIPPO INFERIORE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98142
San Fratello;SAN FRATELLO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98075
San Giorgio;SAN GIORGIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98063
San Lorenzitto;SAN LORENZITTO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
San Marco D'Alunzio;SAN MARCO D ALUNZIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
San Martino;SAN MARTINO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98048
San Martino Spadafora;SAN MARTINO SPADAFORA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98048
San Michele;SAN MICHELE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98152
San Paolo;SAN PAOLO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98051
San Pier Marina;SAN PIER MARINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98045
San Pier Niceto;SAN PIER NICETO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98045
San Piero Patti;SAN PIERO PATTI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98068
San Pietro Di Milazzo;SAN PIETRO DI MILAZZO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98057
San Placido Calonero';SAN PLACIDO CALONERO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98139
San Saba;SAN SABA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98162
San Salvatore Di Fitalia;SAN SALVATORE DI FITALIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
San Silvestro;SAN SILVESTRO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
San Teodoro;SAN TEODORO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98030
Sant'Agata;SANT AGATA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98166
Sant'Agata Di Militello;SANT AGATA DI MILITELLO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98076
Sant'Alessio Siculo;SANT ALESSIO SICULO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98030
Sant'Andrea;SANT ANDREA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98043
Sant'Angelo Di Brolo;SANT ANGELO DI BROLO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
Sant'Antonino Convento;SANT ANTONINO CONVENTO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98051
Sant'Antonino Sciortino;SANT ANTONINO SCIORTINO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98078
Sant'Antonio;SANT ANTONIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98051
Santa Barbara;SANTA BARBARA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98065
Santa Domenica Vittoria;SANTA DOMENICA VITTORIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98030
Santa Lucia Del Mela;SANTA LUCIA DEL MELA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98046
Santa Lucia Sopra Contesse;SANTA LUCIA SOPRA CONTESSE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98126
Santa Margherita;SANTA MARGHERITA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98135
Santa Maria Lo Piano;SANTA MARIA LO PIANO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
Santa Marina Di Milazzo;SANTA MARINA DI MILAZZO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98057
Santa Marina Salina;SANTA MARINA SALINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Santa Teresa Di Riva;SANTA TERESA DI RIVA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98028
Santo;SANTO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98146 | 98148
Santo Stefano Di Briga;SANTO STEFANO DI BRIGA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98137
Santo Stefano Di Camastra;SANTO STEFANO DI CAMASTRA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98077
Santo Stefano Medio;SANTO STEFANO MEDIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98135 | 98136
Saponara;SAPONARA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98047
Saponara Marittima;SAPONARA MARITTIMA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98047
Savoca;SAVOCA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98038
Scafa;SCAFA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98071
Scala;SCALA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98066
Scala Di Torregrotta;SCALA DI TORREGROTTA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Scala Ritiro;SCALA RITIRO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98152
Scaletta Zanclea;SCALETTA ZANCLEA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98029
Scarcelli;SCARCELLI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98047
Sceti;SCETI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98078
Sciglio;SCIGLIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98027
Serro;SERRO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98049
Sfaranda;SFARANDA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
Sinagra;SINAGRA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98069
Soccorso;SOCCORSO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Spadafora;SPADAFORA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98048
Sparta';SPARTA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98163
Stromboli;STROMBOLI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Taormina;TAORMINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98039
Terme Vigliatore;TERME VIGLIATORE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Tesoriero;TESORIERO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98068
Tindari;TINDARI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98066
Tonnarella;TONNARELLA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98054
Torre Faro;TORRE FARO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98164
Torrecandele;TORRECANDELE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98076
Torregrotta;TORREGROTTA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Torremuzza;TORREMUZZA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
Torrenova;TORRENOVA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98070
Tortorici;TORTORICI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98078
Trappitello;TRAPPITELLO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98039
Tremestieri;TREMESTIERI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98128
Tripi;TRIPI;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
Tusa;TUSA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98079
Ucria;UCRIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98060
Valdina;VALDINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Vallebruca;VALLEBRUCA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98076
Venetico;VENETICO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Venetico Marina;VENETICO MARINA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Venetico Superiore;VENETICO SUPERIORE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98040
Vigliatore;VIGLIATORE;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Villafranca Tirrena;VILLAFRANCA TIRRENA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98049
Villaggio Aldisio;VILLAGGIO ALDISIO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98147
Villaggio Annunziata;VILLAGGIO ANNUNZIATA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98168
Villaggio Paradiso;VILLAGGIO PARADISO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98168
Vulcano;VULCANO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Vulcano Porto;VULCANO PORTO;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98050
Zafferia;ZAFFERIA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98127
Zappa;ZAPPA;Messina;MESSINA;ME;Sicilia;Catania;Catania;alta;98067
Acqua Dei Corsari;ACQUA DEI CORSARI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121
Alia;ALIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90021
Alimena;ALIMENA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Aliminusa;ALIMINUSA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Altavilla Milicia;ALTAVILLA MILICIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Altofonte;ALTOFONTE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Arenella Vergine Maria;ARENELLA VERGINE MARIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90142
Aspra;ASPRA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90011
Bagheria;BAGHERIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90011
Balestrate;BALESTRATE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90041
Baucina;BAUCINA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Belmonte Mezzagno;BELMONTE MEZZAGNO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90031
Bisacquino;BISACQUINO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90032
Blandino;BLANDINO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Blufi;BLUFI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Boccadifalco;BOCCADIFALCO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121
Bolognetta;BOLOGNETTA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Bompietro;BOMPIETRO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Borgetto;BORGETTO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90042
Borrello Di San Mauro Castelverde;BORRELLO DI SAN MAURO CASTELVERDE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Brancaccio Ciaculli;BRANCACCIO CIACULLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121 | 90124
Caccamo;CACCAMO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90012
Calcarelli;CALCARELLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Caltavuturo;CALTAVUTURO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90022
Campofelice Di Fitalia;CAMPOFELICE DI FITALIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Campofelice Di Roccella;CAMPOFELICE DI ROCCELLA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Campofiorito;CAMPOFIORITO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Camporeale;CAMPOREALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90043
Capaci;CAPACI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Carini;CARINI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90044
Castelbuono;CASTELBUONO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90013
Casteldaccia;CASTELDACCIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90014
Castellana Sicula;CASTELLANA SICULA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Castronuovo Di Sicilia;CASTRONUOVO DI SICILIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Cefala' Diana;CEFALA DIANA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Cefalu';CEFALU;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90015
Cerda;CERDA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Chiusa Sclafani;CHIUSA SCLAFANI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90033
Ciminna;CIMINNA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90023
Cinisi;CINISI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90045
Citta' Del Mare;CITTA DEL MARE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90049
Collesano;COLLESANO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90016
Contessa Entellina;CONTESSA ENTELLINA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Corleone;CORLEONE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90034
Cortiglia;CORTIGLIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Cruillas;CRUILLAS;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90146
Danigarci;DANIGARCI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90018
Fasano';FASANO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90026
Ficarazzi;FICARAZZI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Ficuzza;FICUZZA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90034
Filaga;FILAGA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90038
Finale;FINALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Foce;FOCE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90041
Gangi;GANGI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90024
Geraci Siculo;GERACI SICULO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Giardinello;GIARDINELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Gibilmanna;GIBILMANNA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90015
Giuliana;GIULIANA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Godrano;GODRANO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Gratteri;GRATTERI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Grisi';GRISI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
In Via Aloi;IN VIA ALOI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90125
In Via Ammiraglio Cristodulo;IN VIA AMMIRAGLIO CRISTODULO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121
In Via Brancaccio;IN VIA BRANCACCIO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90124
In Via Chiavelli;IN VIA CHIAVELLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90124
In Via Gioiamia;IN VIA GIOIAMIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90134
In Via Messina Marine;IN VIA MESSINA MARINE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121
In Via San Nicola;IN VIA SAN NICOLA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90146
In Via Santa Maria Di Gesu';IN VIA SANTA MARIA DI GESU;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90124
Isnello;ISNELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Isola Delle Femmine;ISOLA DELLE FEMMINE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Lascari;LASCARI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Lascari Scalo;LASCARI SCALO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Lercara Friddi;LERCARA FRIDDI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90025
Locati;LOCATI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Malpasso;MALPASSO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
Marineo;MARINEO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90035
Mezzojuso;MEZZOJUSO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Mezzomonreale Boccadifalco;MEZZOMONREALE BOCCADIFALCO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90126
Misilmeri;MISILMERI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90036
Mondello;MONDELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90151
Monreale;MONREALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
Montelepre;MONTELEPRE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Montemaggiore Belsito;MONTEMAGGIORE BELSITO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Montepellegrino;MONTEPELLEGRINO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90142
Nociazzi;NOCIAZZI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Nociazzi Inferiore;NOCIAZZI INFERIORE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Palazzo Adriano;PALAZZO ADRIANO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Palermo;PALERMO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90121 | 90122 | 90123 | 90124 | 90125 | 90126 | 90127 | 90128 | 90129 | 90131 | 90132 | 90133 | 90134 | 90135 | 90136 | 90137 | 90138 | 90139 | 90140 | 90141 | 90142 | 90143 | 90144 | 90145 | 90146 | 90147 | 90148 | 90149 | 90151
Pallavicino;PALLAVICINO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90146
Partanna Mondello;PARTANNA MONDELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90151
Partinico;PARTINICO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90047
Petralia Soprana;PETRALIA SOPRANA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90026
Petralia Sottana;PETRALIA SOTTANA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90027
Piana Degli Albanesi;PIANA DEGLI ALBANESI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90037
Pianello;PIANELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90026
Pianello Di Petralia Sottana;PIANELLO DI PETRALIA SOTTANA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90026
Piano Maglio;PIANO MAGLIO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Pioppo;PIOPPO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
Poggio San Francesco;POGGIO SAN FRANCESCO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
Polizzi Generosa;POLIZZI GENEROSA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90028
Pollina;POLLINA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Portella Di Mare;PORTELLA DI MARE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90036
Porticello;PORTICELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90017
Prizzi;PRIZZI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90038
Punta Raisi Aeroporto;PUNTA RAISI AEROPORTO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90045
Raffo;RAFFO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90026
Regalgioffoli;REGALGIOFFOLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Resuttana San Lorenzo;RESUTTANA SAN LORENZO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90146
Rocca Monreale;ROCCA MONREALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90131
Roccamena;ROCCAMENA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Roccapalumba;ROCCAPALUMBA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Roccella Guarnaschelli;ROCCELLA GUARNASCHELLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90122
Sambuchi;SAMBUCHI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90012
San Carlo;SAN CARLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90033
San Cipirello;SAN CIPIRELLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
San Giovanni Li Greci;SAN GIOVANNI LI GRECI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90012
San Giuseppe Jato;SAN GIUSEPPE JATO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90048
San Lorenzo Colli;SAN LORENZO COLLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90146
San Martino Delle Scale;SAN MARTINO DELLE SCALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
San Mauro Castelverde;SAN MAURO CASTELVERDE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
San Nicolo' L'Arena;SAN NICOLO L ARENA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90019
Sant'Ambrogio;SANT AMBROGIO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90015
Sant'Elia;SANT ELIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90017
Santa Cristina Gela;SANTA CRISTINA GELA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Santa Flavia;SANTA FLAVIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90017
Sciara;SCIARA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Scillato;SCILLATO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Sclafani Bagni;SCLAFANI BAGNI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Settecannoli;SETTECANNOLI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90123
Sferracavallo;SFERRACAVALLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90148
Termini Imerese;TERMINI IMERESE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90018
Terrasini;TERRASINI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90049
Tommaso Natale;TOMMASO NATALE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90148
Tommaso Natale Sferracavallo;TOMMASO NATALE SFERRACAVALLO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90147
Torre Normanna;TORRE NORMANNA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Torretta;TORRETTA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Trabia;TRABIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90019
Trappeto;TRAPPETO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90040
Tribunali Castellammare;TRIBUNALI CASTELLAMMARE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90133
Ustica;USTICA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90010
Valledolmo;VALLEDOLMO;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90029
Ventimiglia Di Sicilia;VENTIMIGLIA DI SICILIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Vicari;VICARI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90020
Villa Ciambra;VILLA CIAMBRA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90046
Villabate;VILLABATE;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90039
Villafrati;VILLAFRATI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90030
Villagrazia;VILLAGRAZIA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90148
Villagrazia Di Carini;VILLAGRAZIA DI CARINI;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90044
Zisa;ZISA;Palermo;PALERMO;PA;Sicilia;Catania;Catania;alta;90134 | 90135 | 90138
Acate;ACATE;Ragusa;RAGUSA;RG;Sicilia;Catania;Catania;alta;97011
Bellocozzo;BELLOCOZZO;Ragusa;RAGUSA;RG;Sicilia;Catania;Catania;alta;97010
Cava D'Aliga;CAVA D ALIGA;Ragusa;RAGUSA;RG;Sicilia;Catania;Catania;alta;97018
Cava D'Ispica;CAVA D ISPICA;Ragusa;RAGUSA;RG;Sicilia;Catania;Catania;alta;97015
